episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
100,1.0,2.7015119754799866,1.0617932484476078,0.051760070107602446,-6.240955724683058,0.5,[-6.240955724683058, 0.5],0.0,False,True,0.8433056775016141,1,16.635021275568313,860.589,prepare,0.0
100,2.0,2.701401472629368,1.0618573388069814,0.05504360431028874,-30.0,0.5,[-30.0, 0.5],0.421320797681191,False,True,0.842641595362382,1,16.635021275568313,860.653,in_progress,0.0
100,3.0,2.7073529829311442,1.0606972273047377,-0.24068649253957883,13.648414050001897,0.7602386069481515,[13.648414050001897, 0.7602386069481515],1.756830064868608,False,True,0.878415032434304,1,16.635021275568313,860.722,in_progress,0.0
100,4.0,2.727525318044782,1.0598466822820236,-0.4695790802163989,-30.0,0.5,[-30.0, 0.5],1.9993544532183998,False,True,0.9996772266091999,1,16.635021275568313,860.788,in_progress,0.0
100,5.0,2.7527174915357016,1.0582970868588222,-0.7918063199614019,-11.721395053161519,0.6858753323878121,[-11.721395053161519, 0.6858753323878121],2.3022269853973047,False,True,1.1511134926986524,1,16.635021275568313,860.857,in_progress,0.0
100,6.0,2.7922391167079885,1.0535427403926898,-1.8635048986342242,12.400087502191035,0.9209858432921444,[12.400087502191035, 0.9209858432921444],2.777362236307463,False,True,1.3886811181537315,2,16.635021275568313,860.931,in_progress,0.0
100,7.0,2.8325269002726863,1.0505891447763478,-2.274335485572436,30.0,0.6989674038846603,[30.0, 0.6989674038846603],3.2617188764967513,False,True,1.6308594382483756,2,16.635021275568313,860.988,in_progress,0.0
100,8.0,2.8728527447056154,1.0521117652323804,-1.5393092030119264,14.5275382168116,0.6673882426399852,[14.5275382168116, 0.6673882426399852],3.7465635172966283,False,True,1.8732817586483141,2,16.635021275568313,861.035,in_progress,0.0
100,9.0,2.9300906373054834,1.0575218672776312,0.029108374029803482,-30.0,0.7124147079096868,[-30.0, 0.7124147079096868],4.434751765031699,False,True,2.2173758825158494,2,16.635021275568313,861.108,in_progress,0.0
100,10.0,3.0207372748356227,1.0609934514726607,0.7159061184977996,-30.0,0.7299754634954905,[-30.0, 0.7299754634954905],5.524598085030316,False,True,2.762299042515158,3,16.635021275568313,861.165,in_progress,0.0
100,11.0,3.0448912684666847,1.0611882665992618,0.6791072243305919,-8.60958218889375,1.0,[-8.60958218889375, 1.0],5.814998308121346,False,True,2.907499154060673,3,16.635021275568313,861.257,in_progress,0.0
100,12.0,3.071472683809216,1.0609765150586046,0.5407112216041594,-28.872426572227717,0.8274917829410814,[-28.872426572227717, 0.8274917829410814],6.134581052112955,False,True,3.0672905260564773,3,16.635021275568313,861.319,in_progress,0.0
100,13.0,3.1225354396330967,1.0570695865628956,-0.48534170755150735,-30.0,0.5,[-30.0, 0.5],6.748480991004111,False,True,3.3742404955020553,4,16.635021275568313,861.383,in_progress,0.0
100,14.0,3.184957664706902,1.0455225598153934,-3.0117154207126835,-30.0,0.534492143204358,[-30.0, 0.534492143204358],7.4989151432250765,False,True,3.7494575716125382,4,16.635021275568313,861.458,in_progress,0.0
100,15.0,3.224736562963464,1.0309149745358621,-5.9441748544865005,14.717707990868412,0.8923665908208007,[14.717707990868412, 0.8923665908208007],7.977098041225235,False,True,3.9885490206126173,4,16.635021275568313,861.526,in_progress,0.0
100,16.0,3.2664478886907813,1.0133385057409237,-9.072069239201841,-30.0,1.0,[-30.0, 1.0],8.478499564301531,False,True,4.2392497821507655,5,16.635021275568313,861.587,in_progress,0.0
100,17.0,3.318722630182309,0.989931565398679,-12.522418166656081,5.151471757781586,1.0,[5.151471757781586, 1.0],2.276717045931936,False,True,4.553434091863872,5,16.635021275568313,861.659,in_progress,0.0
100,18.0,3.368164290710804,0.9646472662142187,-15.751484626501059,30.0,0.6233209275695875,[30.0, 0.6233209275695875],2.4252925052065812,False,True,4.8505850104131625,5,16.635021275568313,861.73,in_progress,0.0
100,19.0,3.421882464567144,0.9415850894732015,-17.44242280611135,-1.3534221724087772,0.6690650673870173,[-1.3534221724087772, 0.6690650673870173],2.5867246930583625,False,True,5.173449386116725,6,16.635021275568313,861.794,in_progress,0.0
100,20.0,3.4730995677678,0.9229318086413278,-17.97999736249539,-30.0,0.888992578299334,[-30.0, 0.888992578299334],2.7406430234036017,False,True,5.481286046807203,6,16.635021275568313,861.863,in_progress,0.0
100,21.0,3.5332933190538265,0.8969121397577045,-19.408478629834864,2.8042977022830797,0.6482630212550471,[2.8042977022830797, 0.6482630212550471],2.921534838499068,False,True,5.843069676998136,6,16.635021275568313,861.925,in_progress,0.0
100,22.0,3.586162516927478,0.8675023441827023,-21.710048096647373,30.0,1.0,[30.0, 1.0],3.0804069011041517,False,True,6.160813802208303,7,16.635021275568313,861.992,in_progress,0.0
